id,name,shortdescription,description,content,studycredit,location,contact_id,level,learningoutcomes,Rood,Groen,Blauw,Geel,module_tags,interests_match_score,popularity_score,estimated_difficulty,available_spots,start_date
176,Technologie die ècht werkt: innovatie in zorg en welzijn,"Technologie, smart health, robotica, zorg, welzijn","Hoe kan technologie de beloftes waarmaken en écht zorgen voor betere en betaalbare zorg en ondersteuning? Effectief samenwerken tussen zorg- welzijnsprofessionals, ontwerpers, technici en ict-ers is daarbij heel belangrijk. In deze praktijkgerichte module draag je in een multidisciplinair team vanuit je eigen vakgebied bij aan een echte innovatie.","Hoe kan technologie de beloftes waarmaken en écht zorgen voor betere en betaalbare zorg en ondersteuning? Effectief samenwerken tussen zorg- welzijnsprofessionals, ontwerpers, technici en ict-ers is daarbij heel belangrijk. In deze praktijkgerichte module draag je in een multidisciplinair team vanuit je eigen vakgebied bij aan een echte innovatie.",15,Breda,62,NLQF5,"Na deze module heb je een dieper inzicht in het werk van professionals uit andere sectoren, die nodig zijn om de inzet van technologie in zorg en welzijn echt succesvol te maken. Jouw verbrede perspectief zal je helpen om vanuit jouw eigen vakgebied bij te dragen aan innovatie in zorg en welzijn.  ",,,,,"['technologie', 'smart', 'health', 'robotica', 'zorg', 'welzijn']",0.64,410,4,73,2025-11-06
177,Patronen doorbreken: basis,"Hechting, trauma, ontwikkeling, hulpverlening, veiligheid","In deze module leer je over gezonde versus verstoorde hechting en trauma, welke impact dat kan hebben op gedrag, emoties en ontwikkeling en hoe jij als professional de signalen van een verstoorde hechting kan herkennen en erop inspelen.","In deze module leer je over gezonde versus verstoorde hechting en trauma, welke impact dat kan hebben op gedrag, emoties en ontwikkeling en hoe jij als professional de signalen van een verstoorde hechting kan herkennen en erop inspelen.",15,Breda en Den Bosch,62,NLQF5,"Vanuit jouw kennis over hechting, trauma en ontwikkeling herken je signalen van een verstoorde hechting die verdere ontwikkeling bemoeilijken en heb je aanknopingspunten om de ander verder te kunnen helpen. ",,,,,"['hechting', 'trauma', 'ontwikkeling', 'hulpverlening', 'veiligheid']",0.58,137,5,22,2025-09-27
178,Oncologie,Ntb,"Deze verdiepende module gaat in op uiteenlopende aspecten die je binnen de oncologische zorg. We zorgen voor veel inbreng vanuit de dagelijkse praktijk door inzet van gastdocenten en excursies. Na deze module heb je uitgebreide inhoudelijke kennis over oncologische ziektebeelden, kun je klinisch redeneren bij kanker. Daarnaast leer je over de psychosociale gevolgen van de ziekte en wat voor begeleiding dit vraagt van zorgvragers en hun naasten.",Oncologie,15,Breda,63,NLQF5,Ntb,,,,,['ntb'],0.49,42,4,35,2025-12-02
179,Pro-active nursing,Ntb,"Ontwikkel een diepgaand begrip van klinisch redeneren in onze HBO-Verpleegkunde module Pro-Active Nursing. Leer anticiperen op zorgbehoeften door doordachte analyse en gezamenlijke, eenduidige klinische besluitvorming. Kom tot een professionele beoordeling van hoe het gaat met de zorgvrager en maak de klinische toestand inzichtelijk.",Pro-active nursing,15,Breda,63,NLQF5,Ntb,,,,,['ntb'],0.7,185,2,42,2025-10-02
180,Jongeren en actuele problematiek,Ntb,"Maak impact daar waar het meest nodig is, met een focus op vroegtijdige signalering en begeleiding van jongeren met actuele problematiek. Te denken valt aan thema’s zoals mentale gezondheid, gezinsproblematiek, gedrag- en houdingsaspecten en huiselijk geweld.",Jongeren en actuele problematiek,15,Breda,63,NLQF5,Ntb,,,,,['ntb'],0.39,469,2,76,2025-10-20
181,Management in de zorg,Ntb,"Bij de keuzemodule Management in de Zorg leer je over organisatie-, personeels- en kwaliteitsmanagement in de zorgsector. Ook strategisch management, kwaliteitsmanagement en ondernemen in de zorg komen aan bod. Praktische vaardigheden zoals communiceren en presenteren worden ook behandeld, evenals het bevorderen van samenwerking tussen betrokkenen, afdelingen en organisaties.",Management in de zorg,15,Breda,63,NLQF5,Ntb,,,,,['ntb'],0.49,452,5,30,2025-10-31
182,Werken vanuit je doelgroep,"Doelgroep, zorg, welzijn, interdisciplinair, samenwerken, inclusie","Verdiep je in in een specifieke doelgroep naar keuze, bijvoorbeeld mensen met een verstandelijke beperking, dementerenden of kinderen. Je leert hoe je in samenwerking met andere disciplines zorg en ondersteuning kan organiseren vanuit het perspectief van de doelgroep.","Verdiep je in in een specifieke doelgroep naar keuze, bijvoorbeeld mensen met een verstandelijke beperking, dementerenden of kinderen. Je leert hoe je in samenwerking met andere disciplines zorg en ondersteuning kan organiseren vanuit het perspectief van de doelgroep.",15,Breda,62,NLQF5,Je leert wat er nodig is om als professionals met verschillende achtergronden effectief te kunnen samenwerken in het belang van de doelgroep. ,,,,,"['doelgroep', 'zorg', 'welzijn', 'interdisciplinair', 'samenwerken', 'inclusie']",0.54,380,4,31,2025-10-21
183,Leefstijl en preventie,"Leefstijl, preventie, positieve gezondheid, beweging, gedragsverandering",Wanneer heb je een gezonde leefstijl? Hoe draagt voeding en beweging bij aan zowel mentale als fysieke gezondheid? Onderga zelf een leefstijlverandering en leer hoe jij als professional de leefstijl van anderen positief kunt beïnvloeden.,Wanneer heb je een gezonde leefstijl? Hoe draagt voeding en beweging bij aan zowel mentale als fysieke gezondheid? Onderga zelf een leefstijlverandering en leer hoe jij als professional de leefstijl van anderen positief kunt beïnvloeden.,15,Breda,62,NLQF5,Je leert en ervaart in een interdisciplinair team wat positieve gezondheid is en hoe je impact kunt maken door anderen positief te stimuleren om hun leefstijl te veranderen en daarmee gezond te blijven.  ,,,,,"['leefstijl', 'preventie', 'positieve', 'gezondheid', 'beweging', 'gedragsverandering']",0.6,479,1,29,2025-09-19
184,Going global: internationaal perspectief op je toekomst,"Globalisering, interculturele communicatie, gezondheid, welzijn, verdieping interculturele competenties","Je onderneemt een stage of internationaal project naar keuze (in het buitenland of dicht bij huis), leert over interculturele verschillen en interculturele communicatie en krijgt daarmee een rijkere kijk op je beroep en je ontwikkeling.","Je onderneemt een stage of internationaal project naar keuze (in het buitenland of dicht bij huis), leert over interculturele verschillen en interculturele communicatie en krijgt daarmee een rijkere kijk op je beroep en je ontwikkeling.",15,Breda en Den Bosch,62,NLQF5,"Je verbreedt je perspectief (multiperspectiviteit) en krijgt daarmee een rijkere kijk op je toekomstige beroep, beroepsvisie en ontwikkeling. ",,,,,"['globalisering', 'interculturele', 'communicatie', 'gezondheid', 'welzijn', 'verdieping', 'interculturele', 'competenties']",0.81,384,5,51,2025-09-21
185,Innoveren in zorg en welzijn,"Innoveren, zorgtechnologie, implementeren, ontwerpen, gezondheid","Innoveren in zorg en welzijn middels inzet van technologie over de hele breedte: innovatiekansen definiëren, systeem-/service design en gebruikservaring rondom technologieën, implementatie","Innoveren in zorg en welzijn middels inzet van technologie over de hele breedte: innovatiekansen definiëren, systeem-/service design en gebruikservaring rondom technologieën, implementatie",30,Breda,60,NLQF6,"Leiden van een (technologische) innovatie in zorg en welzijn, praktijkgericht onderzoek, persoonlijke en professionele ontwikkeling",,,,,"['innoveren', 'zorgtechnologie', 'implementeren', 'ontwerpen', 'gezondheid']",0.43,31,2,35,2025-09-05
186,Child-centered work,Kind centraal werken vanuit perspectieven,ter vervanging van minor criminal justice & social work,ter vervanging van minor criminal justice & social work,15,Breda,64,NLQF6,"Je leert hoe je vanuit de eigen deskundigheid een bijdrage kunt leveren aan de totale ontwikkeling van een kind, daarbij krijg je kennis van alle gebieden (motorisch, cognitief, sociaal en emotioneel) die van belang zijn voor de ontwikkeling van een kind en de bijhorende ketenpartners. Dit wordt gedaan in co-creatie met professionals vanuit justitie, veiligheid, zorg en welzijn ",,,,,"['kind', 'centraal', 'werken', 'vanuit', 'perspectieven']",0.63,247,2,27,2025-11-21
187,Safety en society,"Veiligheid, Welzijn, ketensamenwerking justitie en zorg",ter vervanging van minor criminal justice & social work,ter vervanging van minor criminal justice & social work,15,Breda,64,NLQF6,"Je leert te kijken naar veiligheid op sociaal, fysiek en mentaal vlak en de daarbij behorende theoretische perspectieven (criminologie, psychologie, desistance theorieën, e.d), gespreksvaardigheden en modellen een bijdrage te leveren aan een veilige maatschappij op veschillende niveaus.  Je leert het werkdomein van het forensisch kader kennen en daarin te acteren als professional. ",,,,,"['veiligheid', 'welzijn', 'ketensamenwerking', 'justitie', 'en', 'zorg']",0.69,167,5,57,2025-12-01
188,Musculoskeletaal Wervelkolom en Sport,"Fysiotherapie, muskuloskeletale problematiek","Verdiepende minor in de fysiotherapie op het gebied van musculoskeletale problematiek, waarbij er een keuze wordt gemaakt voor de tak wervelkolom of sport.
KOM minor.","Verdiepende minor in de fysiotherapie op het gebied van musculoskeletale problematiek, waarbij er een keuze wordt gemaakt voor de tak wervelkolom of sport.
KOM minor.",30,Breda,65,NLQF6,Ntb,,,,,"['fysiotherapie', 'muskuloskeletale', 'problematiek']",0.33,47,4,31,2025-10-12
189,Kinderfysiotherapie,"Jeugd, internationalisering",Verdiepende minor in de fysiotherapie op het gebied van kinderfysiotherapie. Internationaal.,Verdiepende minor in de fysiotherapie op het gebied van kinderfysiotherapie. Internationaal.,30,Breda,66,NLQF6,Ntb,,,,,"['jeugd', 'internationalisering']",0.69,239,2,43,2025-10-31
190,Healthcare Innovation Design,"zorg, welzijn, productontwerp","Deze module richt zich op (product)ontwerpvraagstukken binnen zorg en welzijn. Wil je design thinking, design sprints en maker skills leren en toepassen in ontwerpvragen in zorg en welzijn? Dan ben je welkom bij de minor Healthcare Innovation Design! In 20 weken ontwerpen we in co-creatie met bedrijven, designers en zorg- en welzijnsinstellingen tastbare en testbare creatieve producten en diensten.",(product)ontwerpvraagstukken binnen zorg en welzijn.,30,Breda,67,NLQF6,Ntb,,,,,"['zorg', 'welzijn', 'productontwerp']",0.41,374,4,47,2025-09-22
191,De Kracht van de kunsten ,"Beeldende kunst, muziek, drama, literatuur, digitale media, persoonlijke en professionele identiteit, Art Based Learning","Leren van kunst, niet over kunst. Door te doen, door met mensen in contact te zijn. Impact maken. Geraakt worden. Groeien als persoon en professioneel. Leren artistiek onderzoek te doen. Achter de schermen kijken in het theater, Art Based Learning met beelden, musiceren en /of een film maken, spelen (drama), lezen en zelf schrijven. Koppelen aan je toekomstige werk met dementerenden, jongeren, kinderen.","Leren van kunst, niet over kunst. Door te doen, door met mensen in contact te zijn. Impact maken. Geraakt worden. Groeien als persoon en professioneel. Leren artistiek onderzoek te doen. Daar gaan we voor in deze Module. Achter de schermen kijken in het theater, Art Based Learning met beelden, musiceren en /of een film maken, spelen (drama), lezen en zelf schrijven. Koppelen aan je toekomstige werk met dementerenden, jongeren, kinderen. Tijd nemen om te ontdekken, tijd om te verbeelden, tijd om te spelen.",30,Breda,68,NLQF6,Ntb,,,,,"['beeldende', 'kunst', 'muziek', 'drama', 'literatuur', 'digitale', 'media', 'persoonlijke', 'en', 'professionele', 'identiteit', 'art', 'based', 'learning']",0.34,60,2,72,2025-09-21
192,Bewegingsonderwijs,"Bewegingsonderwijs, basisschool",Tijdens de minor bewegingsonderwijs behaalt de student de bevoegdheid tot het geven van de lessen bewegingsonderwijs aan de groepen 3 t/m 8 van de basisschool,Tijdens de minor bewegingsonderwijs behaalt de student de bevoegdheid tot het geven van de lessen bewegingsonderwijs aan de groepen 3 t/m 8 van de basisschool,30,Breda,69,NLQF6,Ntb,,,,,"['bewegingsonderwijs', 'basisschool']",0.92,447,2,27,2025-11-09
