id,name,shortdescription,description,content,studycredit,location,contact_id,level,learningoutcomes,module_tags,interests_match_score,popularity_score,estimated_difficulty,available_spots,start_date,combined_text
169,stevig staan jeugdz,jeugdh jeugdb gezin druk kind uitdag ontwik jong ontwik preven pedago contex verste,"je bent 'state of the art' in kennis, handelingsrepertoire en methodisch toegerust voor het werkveld jeugdzorg breed","je bent 'state of the art' in kennis, handelingsrepertoire en methodisch toegerust voor het werkveld jeugdzorg breed",30,bosch,58,nlqf6,toetsvormen zijn beroepsprestaties van een jeugd- en gezinsprofessional en ontwikkeld i.s.m. het jeugdwerkveld.,jeugdh jeugdb gezin druk kind uitdag ontwik jong ontwik preven pedago contex verste,0.31,286,3,68,2025-09-04,stevig staan jeugdz jeugdh jeugdb gezin druk kind uitdag ontwik jong ontwik preven pedago contex verste jeugdh jeugdb gezin druk kind uitdag ontwik jong ontwik preven pedago contex verste bosch
170,werk dwinge kader,herste benade transm herste positi engage comple omgevi macht dwang motiva theori,"je bent 'state of the art' toegerust in kennis, handelingsrepertoire en methodiek voor het werkveld gedwongen kader (pi/ forensisch, reclassering, raad)","je bent 'state of the art' toegerust in kennis, handelingsrepertoire en methodiek voor het werkveld gedwongen kader (pi/ forensisch, reclassering, raad)",30,bosch,58,nlqf6,leeruitkomsten zijn afgestemd op landelijk netwerk wigk,herste benade transm herste positi engage comple omgevi macht dwang motiva theori,0.93,313,5,33,2025-12-13,werk dwinge kader herste benade transm herste positi engage comple omgevi macht dwang motiva theori herste benade transm herste positi engage comple omgevi macht dwang motiva theori bosch
171,techno zorg welzij,techno zorg welzij,"een belangrijk vraagstuk voor de hedendaagse professionals is ‘hoe kunnen we mensen meer (of beter) laten meedoen in de maatschappij en minder afhankelijk laten zijn van professionals?’ want één van de uitdagingen in zorg en welzijn is het tekort aan personeel én financiële middelen. 
met behulp van technologie kunnen hierin stappen gemaakt worden. maar zijn alle technologieën ook daadwerkelijk geschikt? de tool moet tenslotte niet het doel zijn. we denken na over ethische vraagstukken en hebben invloed op veranderprocessen. aandacht voor positieve gezondheid in de brede betekenis.","een belangrijk vraagstuk voor de hedendaagse professionals is ‘hoe kunnen we mensen meer (of beter) laten meedoen in de maatschappij en minder afhankelijk laten zijn van professionals?’ want één van de uitdagingen in zorg en welzijn is het tekort aan personeel én financiële middelen. 
met behulp van technologie kunnen hierin stappen gemaakt worden. maar zijn alle technologieën ook daadwerkelijk geschikt? de tool moet tenslotte niet het doel zijn. we denken na over ethische vraagstukken en hebben invloed op veranderprocessen. aandacht voor positieve gezondheid in de brede betekenis.",30,bosch,58,nlqf6,ntb,techno zorg welzij,0.84,413,1,34,2025-09-04,techno zorg welzij techno zorg welzij techno zorg welzij bosch
172,zorg dichtb,zorg afstan techno implem zorg verand,met 'zorg op afstand' kan je met behulp van technologie zorg juist dichter bij de mensen thuis brengen. in deze praktijkgerichte module leer je hoe je een nieuwe werkwijze en technologie implementeert en hoe je zorgmedewerkers en patiënten mee kan nemen in deze verandering.,met 'zorg op afstand' kan je met behulp van technologie zorg juist dichter bij de mensen thuis brengen. in deze praktijkgerichte module leer je hoe je een nieuwe werkwijze en technologie implementeert en hoe je zorgmedewerkers en patiënten mee kan nemen in deze verandering.,15,breda,60,nlqf5,je hebt ervaren wat er komt kijken bij het implementeren van een innovatie in de praktijk en hebt kennis van processen en technologieën voor het organiseren van ‘zorg op afstand’.,zorg afstan techno implem zorg verand,0.44,393,5,50,2025-10-26,zorg dichtb zorg afstan techno implem zorg verand zorg afstan techno implem zorg verand breda
173,lang thuis wijk,wijkge werken regie zorg welzij oud,"in nederland willen we mensen zo lang mogelijk, dus ook op hogere leeftijd of met een chronische aandoening of een beperking, thuis te laten wonen. hoe kunnen we met behulp van slimme oplossingen en samenwerkingen ervoor zorgen dat mensen prettig en veilig in hun eigen omgeving kunnen blijven?","in nederland willen we mensen zo lang mogelijk, dus ook op hogere leeftijd of met een chronische aandoening of een beperking, thuis te laten wonen. hoe kunnen we met behulp van slimme oplossingen en samenwerkingen ervoor zorgen dat mensen prettig en veilig in hun eigen omgeving kunnen blijven?",15,breda,60,nlqf5,"je hebt een beeld van wijkgerichte zorg en ondersteuning, kent de bijbehorende stakeholders en infrastructuur en kan voorstellen doen om het systeem rondom de doelgroep te versterken en verbeteren.",wijkge werken regie zorg welzij oud,0.42,401,4,20,2025-09-25,lang thuis wijk wijkge werken regie zorg welzij oud wijkge werken regie zorg welzij oud breda
174,mensge ontwer,design thinki servic design techno ux design doelgr,in zorg en welzijn hebben we te maken met een grote diversiteit aan zorgvragers én -verleners. soms blijkt dat zorgtechnologieën (en diensten) nog beter afgestemd kunnen worden op de doelgroep. in deze module ga je een product of service (her)ontwerpen om daarmee de toegankelijkheid en gebruikservaring te verbeteren.,in zorg en welzijn hebben we te maken met een grote diversiteit aan zorgvragers én -verleners. soms blijkt dat zorgtechnologieën (en diensten) nog beter afgestemd kunnen worden op de doelgroep. in deze module ga je een product of service (her)ontwerpen om daarmee de toegankelijkheid en gebruikservaring te verbeteren.,15,breda,60,nlqf5,je beheerst een aanpak en technieken om producten en diensten te (her)ontwerpen en daarmee mensgerichte zorg en ondersteuning te bevorderen.,design thinki servic design techno uxdesi doelgr,0.42,144,5,72,2025-11-06,mensge ontwer design thinki servic design techno ux design doelgr design thinki servic design techno uxdesi doelgr breda
175,focus jeugd,jeugd hulpve,in deze module leer je hoe je methodisch kunt werken met jeugdigen en gezinnen. op deze manier bereid je je voor op het werken met gezinnen die ondersteuning krijgen in de jeugdhulpverlening.,in deze module leer je hoe je methodisch kunt werken met jeugdigen en gezinnen. op deze manier bereid je je voor op het werken met gezinnen die ondersteuning krijgen in de jeugdhulpverlening.,15,breda bosch,61,nlqf5,ntb,jeugd hulpve,0.5,204,1,73,2025-12-05,focus jeugd jeugd hulpve jeugd hulpve breda bosch
176,techno ècht werken innova zorg welzij,techno smart health roboti zorg welzij,"hoe kan technologie de beloftes waarmaken en écht zorgen voor betere en betaalbare zorg en ondersteuning? effectief samenwerken tussen zorg- welzijnsprofessionals, ontwerpers, technici en ict-ers is daarbij heel belangrijk. in deze praktijkgerichte module draag je in een multidisciplinair team vanuit je eigen vakgebied bij aan een echte innovatie.","hoe kan technologie de beloftes waarmaken en écht zorgen voor betere en betaalbare zorg en ondersteuning? effectief samenwerken tussen zorg- welzijnsprofessionals, ontwerpers, technici en ict-ers is daarbij heel belangrijk. in deze praktijkgerichte module draag je in een multidisciplinair team vanuit je eigen vakgebied bij aan een echte innovatie.",15,breda,62,nlqf5,"na deze module heb je een dieper inzicht in het werk van professionals uit andere sectoren, die nodig zijn om de inzet van technologie in zorg en welzijn echt succesvol te maken. jouw verbrede perspectief zal je helpen om vanuit jouw eigen vakgebied bij te dragen aan innovatie in zorg en welzijn.",techno smart health roboti zorg welzij,0.64,410,4,73,2025-11-06,techno ècht werken innova zorg welzij techno smart health roboti zorg welzij techno smart health roboti zorg welzij breda
177,patroo doorbr basis,hechti trauma ontwik hulpve veilig,"in deze module leer je over gezonde versus verstoorde hechting en trauma, welke impact dat kan hebben op gedrag, emoties en ontwikkeling en hoe jij als professional de signalen van een verstoorde hechting kan herkennen en erop inspelen.","in deze module leer je over gezonde versus verstoorde hechting en trauma, welke impact dat kan hebben op gedrag, emoties en ontwikkeling en hoe jij als professional de signalen van een verstoorde hechting kan herkennen en erop inspelen.",15,breda bosch,62,nlqf5,"vanuit jouw kennis over hechting, trauma en ontwikkeling herken je signalen van een verstoorde hechting die verdere ontwikkeling bemoeilijken en heb je aanknopingspunten om de ander verder te kunnen helpen.",hechti trauma ontwik hulpve veilig,0.58,137,5,22,2025-09-27,patroo doorbr basis hechti trauma ontwik hulpve veilig hechti trauma ontwik hulpve veilig breda bosch
178,oncolo,verdie module gaan uiteen aspect oncolo zorg zorgen inbren dageli prakti inzet gastdo excurs module uitbre inhoud kennis oncolo ziekte klinis redene kanker daarna leren psycho gevolg ziekte begele vragen zorgvr naaste oncolo,"deze verdiepende module gaat in op uiteenlopende aspecten die je binnen de oncologische zorg. we zorgen voor veel inbreng vanuit de dagelijkse praktijk door inzet van gastdocenten en excursies. na deze module heb je uitgebreide inhoudelijke kennis over oncologische ziektebeelden, kun je klinisch redeneren bij kanker. daarnaast leer je over de psychosociale gevolgen van de ziekte en wat voor begeleiding dit vraagt van zorgvragers en hun naasten.",oncologie,15,breda,63,nlqf5,ntb,,0.49,42,4,35,2025-12-02,oncolo verdie module gaan uiteen aspect oncolo zorg zorgen inbren dageli prakti inzet gastdo excurs module uitbre inhoud kennis oncolo ziekte klinis redene kanker daarna leren psycho gevolg ziekte begele vragen zorgvr naaste oncolo  breda
179,pro active nursin,ontwik diepga begrip klinis redene hbo verple module pro active nursin leer antici zorgbe doorde analys gezame eendui klinis beslui komen profes beoord gaan zorgvr maken klinis toesta inzich pro active nursin,"ontwikkel een diepgaand begrip van klinisch redeneren in onze hbo-verpleegkunde module pro-active nursing. leer anticiperen op zorgbehoeften door doordachte analyse en gezamenlijke, eenduidige klinische besluitvorming. kom tot een professionele beoordeling van hoe het gaat met de zorgvrager en maak de klinische toestand inzichtelijk.",pro-active nursing,15,breda,63,nlqf5,ntb,,0.7,185,2,42,2025-10-02,pro active nursin ontwik diepga begrip klinis redene hbo verple module pro active nursin leer antici zorgbe doorde analys gezame eendui klinis beslui komen profes beoord gaan zorgvr maken klinis toesta inzich pro active nursin  breda
180,jong actuee proble,maken impact nodig focus vroegt signal begele jong actuee proble denken vallen thema mentaa gezond gezins gedrag houdin huisel geweld jong actuee proble,"maak impact daar waar het meest nodig is, met een focus op vroegtijdige signalering en begeleiding van jongeren met actuele problematiek. te denken valt aan thema’s zoals mentale gezondheid, gezinsproblematiek, gedrag- en houdingsaspecten en huiselijk geweld.",jongeren en actuele problematiek,15,breda,63,nlqf5,ntb,,0.39,469,2,76,2025-10-20,jong actuee proble maken impact nodig focus vroegt signal begele jong actuee proble denken vallen thema mentaa gezond gezins gedrag houdin huisel geweld jong actuee proble  breda
181,manage zorg,keuzem manage zorg leren organi person kwalit zorgse strate manage kwalit ondern zorg komen bod prakti vaardi commun presen behand evenal bevord samenw betrek afdeli organi manage zorg,"bij de keuzemodule management in de zorg leer je over organisatie-, personeels- en kwaliteitsmanagement in de zorgsector. ook strategisch management, kwaliteitsmanagement en ondernemen in de zorg komen aan bod. praktische vaardigheden zoals communiceren en presenteren worden ook behandeld, evenals het bevorderen van samenwerking tussen betrokkenen, afdelingen en organisaties.",management in de zorg,15,breda,63,nlqf5,ntb,,0.49,452,5,30,2025-10-31,manage zorg keuzem manage zorg leren organi person kwalit zorgse strate manage kwalit ondern zorg komen bod prakti vaardi commun presen behand evenal bevord samenw betrek afdeli organi manage zorg  breda
182,werk doelgr,doelgr zorg welzij interd samenw inclus,"verdiep je in in een specifieke doelgroep naar keuze, bijvoorbeeld mensen met een verstandelijke beperking, dementerenden of kinderen. je leert hoe je in samenwerking met andere disciplines zorg en ondersteuning kan organiseren vanuit het perspectief van de doelgroep.","verdiep je in in een specifieke doelgroep naar keuze, bijvoorbeeld mensen met een verstandelijke beperking, dementerenden of kinderen. je leert hoe je in samenwerking met andere disciplines zorg en ondersteuning kan organiseren vanuit het perspectief van de doelgroep.",15,breda,62,nlqf5,je leert wat er nodig is om als professionals met verschillende achtergronden effectief te kunnen samenwerken in het belang van de doelgroep.,doelgr zorg welzij interd samenw inclus,0.54,380,4,31,2025-10-21,werk doelgr doelgr zorg welzij interd samenw inclus doelgr zorg welzij interd samenw inclus breda
183,leefst preven,leefst preven positi gezond bewegi gedrag,wanneer heb je een gezonde leefstijl? hoe draagt voeding en beweging bij aan zowel mentale als fysieke gezondheid? onderga zelf een leefstijlverandering en leer hoe jij als professional de leefstijl van anderen positief kunt beïnvloeden.,wanneer heb je een gezonde leefstijl? hoe draagt voeding en beweging bij aan zowel mentale als fysieke gezondheid? onderga zelf een leefstijlverandering en leer hoe jij als professional de leefstijl van anderen positief kunt beïnvloeden.,15,breda,62,nlqf5,je leert en ervaart in een interdisciplinair team wat positieve gezondheid is en hoe je impact kunt maken door anderen positief te stimuleren om hun leefstijl te veranderen en daarmee gezond te blijven.,leefst preven positi gezond bewegi gedrag,0.6,479,1,29,2025-09-19,leefst preven leefst preven positi gezond bewegi gedrag leefst preven positi gezond bewegi gedrag breda
184,going global intern perspe toekom,global interc commun gezond welzij verdie interc compet,"je onderneemt een stage of internationaal project naar keuze (in het buitenland of dicht bij huis), leert over interculturele verschillen en interculturele communicatie en krijgt daarmee een rijkere kijk op je beroep en je ontwikkeling.","je onderneemt een stage of internationaal project naar keuze (in het buitenland of dicht bij huis), leert over interculturele verschillen en interculturele communicatie en krijgt daarmee een rijkere kijk op je beroep en je ontwikkeling.",15,breda bosch,62,nlqf5,"je verbreedt je perspectief (multiperspectiviteit) en krijgt daarmee een rijkere kijk op je toekomstige beroep, beroepsvisie en ontwikkeling.",global interc commun gezond welzij verdie interc compet,0.81,384,5,51,2025-09-21,going global intern perspe toekom global interc commun gezond welzij verdie interc compet global interc commun gezond welzij verdie interc compet breda bosch
185,innove zorg welzij,innove zorgte implem ontwer gezond,"innoveren in zorg en welzijn middels inzet van technologie over de hele breedte: innovatiekansen definiëren, systeem-/service design en gebruikservaring rondom technologieën, implementatie","innoveren in zorg en welzijn middels inzet van technologie over de hele breedte: innovatiekansen definiëren, systeem-/service design en gebruikservaring rondom technologieën, implementatie",30,breda,60,nlqf6,"leiden van een (technologische) innovatie in zorg en welzijn, praktijkgericht onderzoek, persoonlijke en professionele ontwikkeling",innove zorgte implem ontwer gezond,0.43,31,2,35,2025-09-05,innove zorg welzij innove zorgte implem ontwer gezond innove zorgte implem ontwer gezond breda
186,child center work,kind centra werken perspe,ter vervanging van minor criminal justice & social work,ter vervanging van minor criminal justice & social work,15,breda,64,nlqf6,"je leert hoe je vanuit de eigen deskundigheid een bijdrage kunt leveren aan de totale ontwikkeling van een kind, daarbij krijg je kennis van alle gebieden (motorisch, cognitief, sociaal en emotioneel) die van belang zijn voor de ontwikkeling van een kind en de bijhorende ketenpartners. dit wordt gedaan in co-creatie met professionals vanuit justitie, veiligheid, zorg en welzijn",kind centra werken perspe,0.63,247,2,27,2025-11-21,child center work kind centra werken perspe kind centra werken perspe breda
187,safety societ,veilig welzij ketens justit zorg,ter vervanging van minor criminal justice & social work,ter vervanging van minor criminal justice & social work,15,breda,64,nlqf6,"je leert te kijken naar veiligheid op sociaal, fysiek en mentaal vlak en de daarbij behorende theoretische perspectieven (criminologie, psychologie, desistance theorieën, e.d), gespreksvaardigheden en modellen een bijdrage te leveren aan een veilige maatschappij op veschillende niveaus.  je leert het werkdomein van het forensisch kader kennen en daarin te acteren als professional.",veilig welzij ketens justit zorgen,0.69,167,5,57,2025-12-01,safety societ veilig welzij ketens justit zorg veilig welzij ketens justit zorgen breda
188,muscul wervel sport,fysiot muskul proble,"verdiepende minor in de fysiotherapie op het gebied van musculoskeletale problematiek, waarbij er een keuze wordt gemaakt voor de tak wervelkolom of sport.
kom minor.","verdiepende minor in de fysiotherapie op het gebied van musculoskeletale problematiek, waarbij er een keuze wordt gemaakt voor de tak wervelkolom of sport.
kom minor.",30,breda,65,nlqf6,ntb,fysiot muskul proble,0.33,47,4,31,2025-10-12,muscul wervel sport fysiot muskul proble fysiot muskul proble breda
189,kinder,jeugd intern,verdiepende minor in de fysiotherapie op het gebied van kinderfysiotherapie. internationaal.,verdiepende minor in de fysiotherapie op het gebied van kinderfysiotherapie. internationaal.,30,breda,66,nlqf6,ntb,jeugd intern,0.69,239,2,43,2025-10-31,kinder jeugd intern jeugd intern breda
190,health innova design,zorg welzij produc,"deze module richt zich op (product)ontwerpvraagstukken binnen zorg en welzijn. wil je design thinking, design sprints en maker skills leren en toepassen in ontwerpvragen in zorg en welzijn? dan ben je welkom bij de minor healthcare innovation design! in 20 weken ontwerpen we in co-creatie met bedrijven, designers en zorg- en welzijnsinstellingen tastbare en testbare creatieve producten en diensten.",(product)ontwerpvraagstukken binnen zorg en welzijn.,30,breda,67,nlqf6,ntb,zorg welzij produc,0.41,374,4,47,2025-09-22,health innova design zorg welzij produc zorg welzij produc breda
191,kracht kunst,beelde kunst muziek drama litera digita medium persoo profes identi art based learni,"leren van kunst, niet over kunst. door te doen, door met mensen in contact te zijn. impact maken. geraakt worden. groeien als persoon en professioneel. leren artistiek onderzoek te doen. achter de schermen kijken in het theater, art based learning met beelden, musiceren en /of een film maken, spelen (drama), lezen en zelf schrijven. koppelen aan je toekomstige werk met dementerenden, jongeren, kinderen.","leren van kunst, niet over kunst. door te doen, door met mensen in contact te zijn. impact maken. geraakt worden. groeien als persoon en professioneel. leren artistiek onderzoek te doen. daar gaan we voor in deze module. achter de schermen kijken in het theater, art based learning met beelden, musiceren en /of een film maken, spelen (drama), lezen en zelf schrijven. koppelen aan je toekomstige werk met dementerenden, jongeren, kinderen. tijd nemen om te ontdekken, tijd om te verbeelden, tijd om te spelen.",30,breda,68,nlqf6,ntb,beelde kunst muziek drama litera digita medium persoo profes identi art based learni,0.34,60,2,72,2025-09-21,kracht kunst beelde kunst muziek drama litera digita medium persoo profes identi art based learni beelde kunst muziek drama litera digita medium persoo profes identi art based learni breda
192,bewegi,bewegi basiss,tijdens de minor bewegingsonderwijs behaalt de student de bevoegdheid tot het geven van de lessen bewegingsonderwijs aan de groepen 3 t/m 8 van de basisschool,tijdens de minor bewegingsonderwijs behaalt de student de bevoegdheid tot het geven van de lessen bewegingsonderwijs aan de groepen 3 t/m 8 van de basisschool,30,breda,69,nlqf6,ntb,bewegi basiss,0.92,447,2,27,2025-11-09,bewegi bewegi basiss bewegi basiss breda
